text,label
"You are such a useless person",1
"People like you should not be allowed here",1
"Your community ruins everything",1
"I hate your entire group and what you stand for",1
"You are disgusting and nobody wants you around",1
"Your kind always creates problems wherever you go",1
"You should be ashamed of who you are",1
"People from your background are always trouble",1
"You are a burden on everyone around you",1
"Your opinions are trash and so are you",1
"Your race is inferior to everyone else",1
"I cannot stand people like you at all",1
"You people are destroying this country",1
"Your religion is the worst and should be banned",1
"You are nothing but a curse to society",1
"People like you make this world worse",1
"Your entire community is full of liars",1
"You do not deserve respect from anyone",1
"You are dirty and should stay away from us",1
"Everyone from your group is stupid",1
"You people think you are special but you are not",1
"Your culture is backwards and useless",1
"You and your people have no values",1
"I hate everything about people like you",1
"Your group always plays the victim",1
"People from your area are all criminals",1
"You belong in a different place, not here",1
"Your community is toxic and unwanted",1
"Nothing good ever comes from people like you",1
"You should keep quiet, no one cares what you think",1
"Your presence makes everyone uncomfortable",1
"You are an embarrassment to your own people",1
"Your accent is annoying and sounds stupid",1
"You and your kind are always lazy",1
"People like you never contribute anything",1
"Your people are always starting fights",1
"You are not welcome in this group",1
"I hope your kind stops existing in our circles",1
"You look like a joke and so does your community",1
"Stay away from us, you are not one of us",1
"You people take all the benefits and give nothing back",1
"Your group is always whining about problems",1
"I do not trust people from your community",1
"You are beneath everyone here",1
"Your people are known for lying and cheating",1
"No one respectable would associate with your kind",1
"I wish your group would just leave this place",1
"You and people like you are the real problem",1
"Your culture has nothing good to offer",1
"People like you should stay silent",1
"You should feel guilty for being who you are",1
"Your group does not belong in modern society",1
"You are the worst type of person from your community",1
"Your people bring down the standard everywhere",1
"You people are always making excuses",1
"You will never be equal to us",1
"Your group is a joke to everyone",1
"You are not welcome in our city",1
"Everyone knows your people cannot be trusted",1
"Your religion teaches all the wrong things",1
"You and your people always play dirty",1
"Your entire group is a stain on this country",1
"You people never follow rules",1
"You are taking space that someone better deserves",1
"Everything goes wrong when your kind shows up",1
"Your community is always demanding special treatment",1
"I do not want to see people like you here",1
"You people ruin every discussion",1
"You sound ignorant, just like the rest of your group",1
"Your kind always makes things worse for everyone",1
"Nothing you say matters because of who you are",1
"You and your entire group are pathetic",1
"You people are too dumb to understand anything",1
"Your background makes you unfit for this place",1
"I cannot stand your community at all",1
"People like you should stay in your own area",1
"You people never work hard and still complain",1
"Your group is always causing drama",1
"Everyone would be happier without your kind around",1
"Your people do not deserve a voice here",1
"You and your people are always wrong",1
"Your presence here is a problem for us",1
"People like you never learn",1
"Your entire community behaves badly",1
"You are the reason people dislike your group",1
"You people are always acting like victims",1
"Your attitude is exactly why everyone hates your group",1
"Nobody wants to live near your community",1
"Your kind only brings negativity",1
"You people are holding this place back",1
"Your culture is not welcome here",1
"You and your people should stay out of our issues",1
"Your group always lowers the standard",1
"I automatically distrust people like you",1
"Your people think they are above everyone else",1
"You are proof that your community is a problem",1
"Things were better before your kind arrived",1
"People from your community make everything worse",1
"I do not consider your group equal to us",1
"You are treated badly because of what your people do",1
"Nothing will change as long as your kind is around",1
"Everyone laughs at people from your group",1
"Your people never act civilised",1
"I would never work with someone from your community",1
"You are not one of us and never will be",1
"I completely disagree with your decision, but I respect your right to have an opinion",0
"I think this idea needs more work before we use it",0
"The presentation was okay, but it could be improved",0
"I do not like this design, but I understand the effort behind it",0
"He played poorly in the last match, but he can improve",0
"The project was delayed because of miscommunication",0
"This policy is not effective and should be revised",0
"I am unhappy with the service I received today",0
"The app keeps crashing and needs a bug fix",0
"I found the movie boring and too long",0
"The restaurant food was average, nothing special",0
"You made a mistake in the report, please correct it",0
"The meeting took too long and felt unproductive",0
"The exam was difficult for many students",0
"This phone has weak battery life",0
"The user interface is confusing for new users",0
"Our team needs better coordination",0
"The internet speed is very slow today",0
"I disagree with your reasoning, it is not logical",0
"The software is useful but still has many bugs",0
"The customer support was unresponsive",0
"I think the new rule is unnecessary",0
"The sound quality of this device is poor",0
"This neighborhood has a lot of traffic issues",0
"Your explanation is incomplete and unclear",0
"I did not enjoy the event as much as I expected",0
"The coach criticized the team’s performance",0
"The schedule needs to be planned more carefully",0
"The budget cuts will affect our work",0
"I am disappointed with the final result",0
"The advertisement was misleading and confusing",0
"The seminar was too long and repetitive",0
"The app has a lot of unwanted notifications",0
